t [s],FA [g],SS [g]
8.96,-0.0023736309,-0.012189447
9.0,-0.0015136634,-0.011672858
9.040000000000001,-0.0011502322,-0.009807765
9.08,-0.0013735322,-0.0077980654
9.120000000000001,-0.0011034887,-0.0058392724
9.16,-0.001042085,-0.004234096
9.200000000000001,2.0782443e-06,-0.0031310874
9.24,0.00012057814,-0.0021030789
9.28,-0.0004093484,-0.003302586
9.32,-0.00048368142,-0.0015585357
9.36,-5.6232516e-06,0.00052380306
9.4,0.0009166062,0.00056553294
9.44,0.00096998987,0.0003700959
9.48,0.0013994477,-0.00048709757
9.52,0.00063214137,0.0011965623
9.56,-0.000708865,0.0017610356
9.6,-0.0011941256,0.0039079306
9.64,-0.0017141278,0.0057014716
9.68,-0.0014250772,0.0053321994
9.72,-0.001586997,0.00752969
9.76,-0.0014846739,0.007315438
9.8,-0.0010026806,0.0067911576
9.84,-0.00081278355,0.0062059765
9.88,-0.00022055916,0.0062030475
9.92,-0.0005889601,0.007656568
9.96,-0.0009934325,0.007924232
10.0,-0.0012633699,0.0108115375
10.040000000000001,-0.0016268904,0.0098984605
10.08,-0.0016277729,0.009803962
10.120000000000001,-0.00239406,0.011131207
10.16,-0.003742098,0.010542904
10.200000000000001,-0.004864324,0.012405537
10.24,-0.004941232,0.012314622
10.28,-0.004442961,0.012159633
10.32,-0.0040641446,0.010971604
10.36,-0.0033580074,0.011391388
10.4,-0.0031567882,0.012612738
10.44,-0.0035356544,0.011237914
10.48,-0.0035212073,0.012010695
10.52,-0.0036701376,0.009738469
10.56,-0.004129635,0.00798005
10.6,-0.0044293646,0.006893049
10.64,-0.0050091846,0.005295452
10.68,-0.0054401024,0.005746602
10.72,-0.005838777,0.006028923
10.76,-0.005980595,0.005972243
10.8,-0.0059233387,0.0041403314
10.84,-0.0055994205,0.0036397327
10.88,-0.0050750286,0.0032636847
10.92,-0.0054010586,0.0020907447
10.96,-0.0048446795,0.001393148
11.0,-0.0038308012,-0.0011241356
11.040000000000001,-0.0038462179,-0.0018814622
11.08,-0.002463762,-0.0005993655
11.120000000000001,-0.0017876592,-0.00032537009
11.16,-0.0013996672,-0.00074239704
11.200000000000001,-0.0002158107,-0.0016894976
11.24,0.00039601923,-0.0023659456
11.28,0.0009069449,-0.003200728
11.32,0.0005879194,-0.0033564665
11.36,0.0006912052,-0.0028623187
11.4,0.00056128326,-0.003110833
11.44,0.00012311476,-0.0047571696
11.48,0.00045951168,-0.0062322617
11.52,0.0004479787,-0.0068317535
11.56,0.0013155094,-0.0052460604
11.6,0.0012361398,-0.003913067
11.64,0.0009946278,-0.0054049394
11.68,0.0007631057,-0.0054542706
11.72,0.00037245575,-0.007063335
11.76,0.0012301374,-0.008611989
11.8,0.0018474105,-0.00835063
11.84,0.002993404,-0.00937527
11.88,0.0034874475,-0.009720163
11.92,0.0029956081,-0.010615449
11.96,0.0028246497,-0.0089813555
12.0,0.0021717383,-0.0085822195
12.040000000000001,0.002515754,-0.011423745
12.08,0.0030111896,-0.012636973
12.120000000000001,0.00305435,-0.013506398
12.16,0.0024429278,-0.0109558385
12.200000000000001,0.0012658364,-0.0105603095
12.24,0.0007097232,-0.011473133
12.280000000000001,-0.00016697805,-0.009360357
12.32,-0.0006083287,-0.0073073413
12.36,-0.0007002933,-0.00471773
12.4,-0.00092054956,-0.004773893
12.44,-0.00052486744,-0.0055325814
12.48,-0.0006622997,-0.0052460763
12.52,-0.00073735724,-0.0049384227
12.56,-0.0010773138,-0.0030210016
12.6,-0.0010537152,-0.0049130265
12.64,-0.00021057605,-0.0047083027
12.68,0.00024907422,-0.0022255739
12.72,0.0006815397,-0.0018740117
12.76,0.00020269449,-0.0009899329
12.8,-0.00062641123,-0.00069359754
12.84,-6.867652e-05,0.00028302643
12.88,0.00028799978,0.0003279934
12.92,-0.0008696739,0.00034430364
12.96,-0.0020734163,-0.0001174592
13.0,-0.0027404479,0.0004053047
13.040000000000001,-0.003486613,0.003323861
13.08,-0.0043812953,0.0028043417
13.120000000000001,-0.0054578907,0.0024069948
13.16,-0.0058080084,0.003090246
13.200000000000001,-0.005768747,0.004233719
13.24,-0.005668241,0.0054375557
13.280000000000001,-0.0053805495,0.006894886
13.32,-0.004919877,0.007593041
13.36,-0.0039643524,0.008744667
13.4,-0.0039108302,0.010779456
13.44,-0.00426396,0.011174382
13.48,-0.0037208046,0.011093476
13.52,-0.0029329534,0.011645763
13.56,-0.0024852974,0.013813763
13.6,-0.002108745,0.015740028
13.64,-0.001128034,0.014530663
13.68,-0.0012818318,0.014674743
13.72,-0.0016907917,0.013190866
13.76,-0.0020042572,0.012738824
13.8,-0.0029658086,0.011116547
13.84,-0.00305671,0.008652655
13.88,-0.0032887382,0.0094907945
13.92,-0.0034137026,0.008345221
13.96,-0.0041277125,0.007620222
14.0,-0.0049108854,0.0060647693
14.040000000000001,-0.004604218,0.005715975
14.08,-0.0042437552,0.0073614363
14.120000000000001,-0.003339908,0.006102978
14.16,-0.0033202511,0.0059045837
14.200000000000001,-0.003434206,0.0045482977
14.24,-0.0025958777,0.0046789404
14.280000000000001,-0.002155389,0.0040075043
14.32,-0.0018848551,0.0011245484
14.36,-0.0015608612,0.00012615748
14.4,-0.0018113396,-0.0022934761
14.44,-0.0011570548,-0.0015311758
14.48,-0.00022307444,-0.0010621524
14.52,0.00063053967,-0.0025502734
14.56,0.0010329431,-0.0010938803
14.6,0.000842693,-0.0007280607
14.64,0.00062941207,-0.0012944377
14.68,0.00015034994,-0.002168788
14.72,1.9154917e-05,-0.0032843174
14.76,-0.00020527598,-0.0042592813
14.8,-0.00044015324,-0.005495372
14.84,-0.00036587488,-0.005688508
14.88,-0.0009851335,-0.0069618747
14.92,-0.001181748,-0.0077034933
14.96,-0.00064139016,-0.006653909
15.0,-0.00060554437,-0.0072497847
15.040000000000001,-0.00066641823,-0.008387693
15.08,-0.00046197145,-0.008564244
15.120000000000001,-0.00031491037,-0.009595424
15.16,-0.00021052803,-0.011023604
15.200000000000001,0.000266066,-0.012007564
15.24,0.00092992285,-0.0121742645
15.280000000000001,2.905185e-05,-0.009870419
15.32,-0.001051656,-0.009302398
15.36,-0.0013195749,-0.009143661
15.4,-0.0015628857,-0.008117903
15.44,-0.0011939455,-0.008923728
15.48,-0.0018107295,-0.009773171
15.52,-0.0021243854,-0.010649504
15.56,-0.0015948116,-0.008718843
15.6,-0.00091600744,-0.0075331144
15.64,-6.223895e-05,-0.007284083
15.68,-7.987808e-05,-0.0061678495
15.72,0.0009780015,-0.0064280513
15.76,0.0019353698,-0.0033718667
15.8,0.0020633007,-0.0021235908
15.84,0.0020738752,-0.0025099325
15.88,0.0013312956,-0.002043238
15.92,0.0009594847,-0.0026827077
15.96,0.000499273,-0.0014868506
16.0,0.00030706121,-0.004160223
16.04,-0.00025875727,-0.004983208
16.080000000000002,-0.001295762,-0.0036919434
16.12,-0.0013536686,-0.0016128669
16.16,-0.0018736632,0.0025130266
16.2,-0.0016715382,0.00047981384
16.240000000000002,-0.0012889251,0.00070663966
16.28,-0.0022584486,0.0020176538
16.32,-0.0028058514,0.0039625913
16.36,-0.003227732,0.006420116
16.4,-0.0033825224,0.0045779785
16.44,-0.0030358033,0.0050739865
16.48,-0.0022132304,0.0049179704
16.52,-0.0015009448,0.006014266
16.56,-0.0018472865,0.006205118
16.6,-0.0019643477,0.005125622
16.64,-0.002134068,0.008737096
16.68,-0.0023882801,0.009247008
16.72,-0.0021603194,0.009506
16.76,-0.0020733136,0.007841372
16.8,-0.0014806226,0.006023213
16.84,-0.0007312822,0.008551674
16.88,-0.0012576071,0.009559754
16.92,-0.0022025285,0.009695707
16.96,-0.002328661,0.0080624735
17.0,-0.0016783343,0.008276289
17.04,-0.0012796479,0.0090725
17.080000000000002,-0.0014979427,0.008870777
17.12,-0.0019314054,0.01012571
17.16,-0.0024759634,0.008548885
17.2,-0.0029407577,0.0075347186
17.240000000000002,-0.003343607,0.007228409
17.28,-0.004193343,0.0058119046
17.32,-0.0042800754,0.005483219
17.36,-0.0043660966,0.006268943
17.400000000000002,-0.0045260093,0.0059837047
17.44,-0.0040304596,0.004191486
17.48,-0.004011616,0.00451003
